ip	finger	hash	name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	castingStat	choices	country	countryCode	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
9616d3e	64e8391	2827f648bac4f5477b488830e0cdb9d5	941edb4	Bugbear	City Watch	2019-08-16T20:42:52Z	Paladin 8	Paladin	Oath of Ancients	8		75	19	20	12	12	8	10	16		Athletics|Stealth|Religion|Insight|Intimidation	Battleaxe|Javelin	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2	Cha	fighting style/Defense	United States	US		NA	NA	Bugbear	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2	Battleaxe|Javelin	8-11	compassionate_ride
9616d3e	64e8391	93c2605c828fd0faa97b9b528294bb2d	9dece4d	Aarakocra	Urchin	2019-08-16T20:39:28Z	Monk 8	Monk	Way of the Long Death	8		68	18	10	20	14	8	16	10		Acrobatics|Sleight of Hand|Stealth|Insight	Shortsword|Dart|Unarmed Strike		Int		United States	US		NA	NA	Aarakocra		Shortsword|Dart|Unarmed Strike	8-11	zen_khayyam
9616d3e	64e8391	fb382dbcb3a939fafa115546586caa23	3cc7ae1	Tiefling	Charlatan	2019-08-16T20:32:55Z	Wizard 8	Wizard	School of Divination	8		62	11	8	12	16	20	10	12		Sleight of Hand|Arcana|Investigation|Deception	Dagger		Int		United States	US		NA	NA	Tiefling		Dagger	8-11	priceless_jennings
9616d3e	64e8391	6daba1a14d54bca2e37c6e815210f51a	b7e93ed	Half-Orc	Outlander	2019-08-14T01:45:09Z	Barbarian 8	Barbarian	Path of the Zealot	8		108	15	20	14	16	8	12	10		Athletics|Animal Handling|Perception|Survival|Intimidation	Greataxe|Mace|Javelin		Int		United States	US		NA	NA	Half-Orc		Greataxe|Mace|Javelin	8-11	upbeat_khayyam
41d3866		03754697386842dbb6f305a51080459d	322309b	Triton	Sailor	2019-08-05T10:49:25Z	Cleric 8	Cleric	Tempest Domain	8		59	18	18	14	15	11	20	16	CG	Athletics|Perception|Survival|Persuasion	Mace|Crossbow, light	Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3|Control Water*4|Ice Storm*4	Wis		Australia	AU	CG	NA	NA	Triton	Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3|Control Water*4|Ice Storm*4	Mace|Crossbow, Light	8-11	wizardly_robinson
67908f4	53081c7	91566768345f72456f112e0afc253f92	1f017ef	Triton	Charlatan	2019-08-01T13:29:21Z	Bard 8	Bard	College of Swords	8	Actor	59	15	11	16	14	10	10	18		Acrobatics|Sleight of Hand|Deception|Performance|Persuasion	Rapier|Dagger	Friends*0|Minor Illusion *0|Vicious Mockery*0|Healing Word*1|Thunderwave*1|Invisibility *2|Phantasmal Force*2|Shatter*2|Suggestion*2|Bestow Curse*3|Major Image*3|Speak With Dead*3|Dimension Door*4|Polymorph*4	Cha	fighting style/Dueling|expertise/Sleight of Hand*Deception	United States	US		NA	NA	Triton	Friends*0|Minor Illusion*0|Vicious Mockery*0|Healing Word*1|Thunderwave*1|Invisibility*2|Phantasmal Force*2|Shatter*2|Suggestion*2|Bestow Curse*3|Major Image*3|Speak with Dead*3|Dimension Door*4|Polymorph*4	Rapier|Dagger	8-11	blissful_chaplygin
7e92cf6	772d9f4	399c8912aca273692fd7ab248a9abc88	ae459fd	Human	Soldier	2019-07-27T15:41:00Z	Fighter 8	Fighter	Battle Master	8	Polearm Master|Sentinel	68	18	20	12	15	10	13	8		Athletics|Insight|Perception|Survival|Intimidation	Longsword|Handaxe|Glaive +1		Int	fighting style/Great Weapon Fighting|combat superiority maneuvers/Trip Attack*Pushing Attack*Disarming Attack*Sweeping Attack*Maneuvering Attack	United States	US		NA	NA	Human		Longsword|Handaxe|Glaive	8-11	sad_hawking
7e92cf6	772d9f4	9ee5b9b245a287f960d3c79f132e4194	4eb208b	Human	Soldier	2019-07-27T15:26:33Z	Fighter 8	Fighter	Samurai	8	Polearm Master|Sentinel	68	18	20	14	14	12	10	8		Athletics|Acrobatics|Insight|Perception|Survival|Intimidation	Glaive +1|Greatsword|Handaxe|Longsword		Int	fighting style/Great Weapon Fighting	United States	US		NA	NA	Human		Glaive|Greatsword|Handaxe|Longsword	8-11	blissful_bhaskara
c23663b	772d9f4	54c6295bd3bc5ee438979976529532ed	c4e936f	Wood Elf	Outlander	2019-07-20T21:41:24Z	Druid 8	Druid	Circle of the Moon	8	Dungeon Delver|War Caster	50	12	9	12	13	15	18	14	lawful neitral	Athletics|Nature|Animal Handling|Perception|Survival	Shortbow|Quarterstaff	Shillelagh*0|Druidcraft*0|Thunderwave*0|Goodberry*1|Thunderwave*1|Healing Word*1|Detect Poison And Disease*1|Animal Friendship*1|Healing Spirit*2|Darkvision*2|Pass Without Trace*2|Flame Blade*2|Protection From Poison*2|Lesser Restoration*2|Call Lightning*3|Conjure Animals*3|Water Walk*3|Wind Wall*3|Confusion*4|Ice Storm*4	Wis		United States	US	LN	NA	NA	Elf	Shillelagh*0|Druidcraft*0|*|Goodberry*1|Thunderwave*1|Healing Word*1|Detect Poison and Disease*1|Animal Friendship*1|Healing Spirit*2|Darkvision*2|Pass Without Trace*2|Flame Blade*2|Protection from Poison*2|Lesser Restoration*2|Call Lightning*3|Conjure Animals*3|Water Walk*3|Wind Wall*3|Confusion*4|Ice Storm*4	Shortbow|Quarterstaff	8-11	musing_blackburn
c78dfe5	1ffd2bd	8068a07cd3d69299b7fafaff6c486458	1f4612d	Human	Urchin	2019-07-16T00:50:05Z	Sorcerer 8	Sorcerer	Shadow Magic	8	Prodigy	56	11	10	12	15	14	12	16		Sleight of Hand|Stealth|Arcana|Deception|Intimidation|Persuasion	Club|Dagger	Mage Hand*0|Message*0|Blade Ward*0|Chill Touch *0|Prestidigation*0|Chromatic Orb*1|Detect Magic*1|Expeditious Retreat*1|False Life*1|Darkness*2|Misty Step*2|Suggestion *2|Counterspell*3|Dispel Magic*3|Slow*3|Blight*4|Confusion*4	Cha	expertise/Persuasion|metamagic/Subtle Spell*Distant Spell	United States	US		NA	NA	Human	Mage Hand*0|Message*0|Blade Ward*0|Chill Touch*0|Prestidigitation*0|Chromatic Orb*1|Detect Magic*1|Expeditious Retreat*1|False Life*1|Darkness*2|Misty Step*2|Suggestion*2|Counterspell*3|Dispel Magic*3|Slow*3|Blight*4|Confusion*4	Club|Dagger	8-11	brave_neumann
2ce9a24	9cd489f	51af78e8372b58ba3acbceb5deac8022	db07e0b	Hill Dwarf	Acolyte	2019-07-15T16:47:11Z	Cleric 8	Cleric	Life Domain	8	Magic Initiate	96	17	8	13	16	12	18	10	NG	History|Religion|Insight|Medicine	Crossbow, light|Quarterstaff	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4	Wis		Brazil	BR	NG	NA	NA	Dwarf	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4	Crossbow, Light|Quarterstaff	8-11	hardcore_mendel
e5c028b	359bc67	eb26409915ff89acf9e9da078906ccd6	8ee18a4	Kenku	Guild Member - Spycraft	2019-07-14T17:49:44Z	Monk 8	Monk	Way of the Open Hand	8	Resilient	51	20	12	20	13	11	20	10		Athletics|Acrobatics|Stealth|Insight|Deception	Shortsword|Dart|Unarmed strike		Int		United States	US		NA	NA	Kenku		Shortsword|Dart|Unarmed Strike	8-11	crazy_tereshkova
7e92cf6	e2f3cec	ee499644989f5331ff2a7f125b0fbc5a	5f4f179	Human	Sailor	2019-07-13T15:34:34Z	Rogue 8	Rogue	Swashbuckler	8	Alert	51	16	8	20	12	10	14	14		Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Deception	Rapier|Shortbow|Dagger		Int	expertise/Stealth*Acrobatics*Perception*Athletics	United States	US		NA	NA	Human		Rapier|Shortbow|Dagger	8-11	elegant_chandrasekhar
7e92cf6	e2f3cec	94a7ee27efd645779bcc19ca9499686f	f3a2798	Wood Elf	Hermit	2019-07-13T15:32:21Z	Monk 8	Monk	Way of the Open Hand	8	Mobile|Athlete	59	16	8	18	14	12	14	10		Acrobatics|Stealth|Religion|Medicine|Perception	Quarterstaff|Dart|Unarmed strike		Int		United States	US		NA	NA	Elf		Quarterstaff|Dart|Unarmed Strike	8-11	quirky_lamarr
	3a382b1	b603f4fc68a326bbb3e1ca7510545da5	92d9c5d	Human	Haunted One	2019-07-13T04:29:53Z	Cleric 8	Cleric	Light Domain	8	War Caster	66	18	16	14	16	12	20	9		History|Insight|Medicine|Survival	Mace|Spear	Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4	Wis		Canada	CA		NA	NA	Human	Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4	Mace|Spear	8-11	loving_cohen
	3a382b1	937357968b69c39bfe8281b8ffaa7c14	ff4eb78	Goliath	Far Traveler	2019-07-13T03:43:59Z	Fighter 8	Fighter	Champion	8	Polearm Master	77	16	20	13	16	11	13	12		Athletics|Animal Handling|Insight|Perception|Survival	Maul|Halberd|Handaxe		Int	fighting style/Great Weapon Fighting	Canada	CA		NA	NA	Goliath		Maul|Halberd|Handaxe	8-11	confident_wright
7d88a77	5b32d19	b99745dd0a1afb683e1f9f123157fef5	9ce1359	Human	Acolyte	2019-07-08T16:27:34Z	Wizard 8	Wizard	School of Divination	8	Magic Initiate	30	14	7	13	13	20	14	10	Neutral Good	Arcana|Investigation|Religion|Insight|Perception	Quarterstaff	Ray Of Frost (2d8)*0|Mage Hand*0|Prestidigitation *0|Guidance*0|Resistance*0|Acid Splash (2d6)*0|Minor Illusion *0|Mage Armor*1|Burning Hands*1|Magic Missile*1|Sleep*1|Detect Magic (Ritual)*1|Silent Image*1|Witch Bolt *1|Comprehend Languages (Ritual)*1|Shield*1|Identify (Ritual)*1|Disguise Self*1|Ice Knife*1|Scorching Ray (3x2d6)*2|See Invisibility *2|Aganazzer's Scorcher*2|Detect Thoughts*2|Mirror Image*2|Misty Step*2|Knock*2|Snilloc's Snowball Swarm*2|Magic Mouth (R)*2|Fireball*3|Haste*3|Tongues*3|Counterspell*3|Fly*3|Lightning Bolt*3|Wall Of Fire*4|Banishment *4|Locate Creature*4|M's Hound *4|Stoneskin*4|Fire Shield*4|Blight*4|Arcane Eye*4|Confusion*4|Evard's Black Tentacles*4	Int		United States	US	NG	NA	NA	Human	Ray of Frost*0|Mage Hand*0|Prestidigitation*0|Guidance*0|Resistance*0|Acid Splash*0|Minor Illusion*0|Mage Armor*1|Burning Hands*1|Magic Missile*1|Sleep*1|Detect Magic*1|Silent Image*1|Witch Bolt*1|Comprehend Languages*1|Shield*1|Identify*1|Disguise Self*1|Ice Knife*1|Scorching Ray*2|See Invisibility*2|Aganazzar's Scorcher*2|Detect Thoughts*2|Mirror Image*2|Misty Step*2|Knock*2|Snilloc's Snowball Swarm*2|Magic Mouth*2|Fireball*3|Haste*3|Tongues*3|Counterspell*3|Fly*3|Lightning Bolt*3|Wall of Fire*4|Banishment*4|Locate Creature*4|*|Stoneskin*4|Fire Shield*4|Blight*4|Arcane Eye*4|Confusion*4|Evard's Black Tentacles*4	Quarterstaff	8-11	nervous_allen
373b2e4	f185d79	8e32f20037a27100ede089182f332bb0	ba5a0f5	Human	Acolyte	2019-07-04T20:02:19Z	Fighter 8	Fighter	Samurai	8		77	16	20	14	18	14	13	16		History|Religion|Insight|Perception	Shortsword|Crossbow, light		Int	fighting style/Dueling	Turkey	TR		NA	NA	Human		Shortsword|Crossbow, Light	8-11	eloquent_mestorf
36e331a	d3c3d7e	bded97adae4a858806c9b6ca10539a04	711a5c6	Dragonborn	Hermit	2019-07-04T10:41:40Z	Monk 8	Monk	Way of the Four Elements	8		42	15	13	16	12	13	14	14		Athletics|History|Religion|Medicine	Dart|Unarmed strike		Int	elemental disciplines/Fangs of the Fire Snake*Fist of Unbroken Air	Turkey	TR		NA	NA	Dragonborn		Dart|Unarmed Strike	8-11	hardcore_noether
	1afa47c	b7249c5732a03e14be391e1732423035	b1592d0	Tiefling	Criminal	2019-07-01T01:25:23Z	Rogue 8	Rogue	Thief	8		46	15	8	18	10	16	11	15		Acrobatics|Sleight of Hand|Stealth|Investigation|Deception|Persuasion	Shortsword|Shortbow|Dagger		Int	expertise/Stealth*Acrobatics*Thieves' Tools*Persuasion	Canada	CA		NA	NA	Tiefling		Shortsword|Shortbow|Dagger	8-11	condescending_lovelace
	1afa47c	0743d7a37b123f863022e24893ab195a	17dddca	Human	Folk Hero	2019-07-01T01:23:16Z	Ranger 8	Ranger	Hunter	8		76	16	10	19	15	11	14	13		Nature|Animal Handling|Insight|Perception|Survival	Shortsword|Longbow		Wis	fighting style/Archery	Canada	CA		NA	NA	Human		Shortsword|Longbow	8-11	brave_burnell
	1afa47c	fef12c4928d2557fc668db7b3d4e638f	096b80f	Dragonborn	City Watch	2019-07-01T01:21:53Z	Paladin 8	Paladin	Oath of the Crown	8		72	16	18	10	14	10	14	13		Athletics|Religion|Insight|Intimidation	Longsword|Javelin	Command*1|Compelled Duel*1|Warding Bond*2|Zone of Truth*2	Cha	fighting style/Great Weapon Fighting	Canada	CA		NA	NA	Dragonborn	Command*1|Compelled Duel*1|Warding Bond*2|Zone of Truth*2	Longsword|Javelin	8-11	elegant_ramanujan
	1afa47c	2b95b2e270dde58e385d024025f33e65	7ad194f	High Elf	Acolyte	2019-07-01T01:20:08Z	Wizard 8	Wizard	School of Divination	8		46	13	8	16	12	20	11	12		Arcana|History|Religion|Insight|Perception	Quarterstaff		Int		Canada	CA		NA	NA	Elf		Quarterstaff	8-11	friendly_knuth
	1afa47c	47a8621c3eb9c5f652de194f3cd9be16	4500707	Half-Elf	Noble	2019-07-01T01:19:18Z	Paladin 8	Paladin	OathBreaker	8		96	21	20	12	16	11	12	18		Athletics|History|Religion|Insight|Intimidation|Persuasion	Flail|Dagger	Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2	Cha	fighting style/Defense	Canada	CA		NA	NA	Half-Elf	Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2	Flail|Dagger	8-11	dazzling_lewin
	1afa47c	f1cce042049d95956d33dfcad357d5bd	ff2d825	Half-Orc	Soldier	2019-07-01T01:10:12Z	Fighter 8	Fighter	Champion	8	Savage Attacker	82	19	20	14	16	8	8	12		Athletics|Acrobatics|Survival|Intimidation	Battleaxe|Handaxe		Int	fighting style/Defense	Canada	CA		NA	NA	Half-Orc		Battleaxe|Handaxe	8-11	stupefied_jepsen
7e2fcd9	e7ebcfb	c9cd55b8074b0bcfceaf2510926c5bf1	0ffe634	Triton	Custom	2019-06-19T12:06:12Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	17	16	12	20	8	12	10		Athletics|Nature|Animal Handling|Survival	Javelin|Great Trident		Int		Netherlands	NL		NA	NA	Triton		Javelin|Trident	8-11	relaxed_mcclintock
7e2fcd9		c5b280c27f178a778211daa6be8ccb88	0773250	Triton	Custom	2019-06-19T07:52:44Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	17	16	12	20	8	12	10		Athletics|Nature|Animal Handling|Survival	Javelin|Great Trident		Int		Netherlands	NL		NA	NA	Triton		Javelin|Trident	8-11	boring_dewdney
7e2fcd9	e7ebcfb	d7f80cec7aacb5102caa2461a20859ae	6c9e715	Half-Elf	Custom	2019-06-07T10:57:16Z	Paladin 8	Paladin	Oath of Redemption	8		68	19	13	10	14	14	8	20		Athletics|Arcana|Investigation|Religion|Insight|Persuasion	Longsword|Javelin	Sanctuary*1|Sleep*1|Calm Emotions*2|Hold Person*2	Cha	fighting style/Defense	Netherlands	NL		NA	NA	Half-Elf	Sanctuary*1|Sleep*1|Calm Emotions*2|Hold Person*2	Longsword|Javelin	8-11	cocky_noyce
288523a	127089a	93220c1e28741464169c3eb4c663623b	0251479	Tortle	Sage	2019-06-01T09:51:30Z	Monk 8	Monk	Way of the Open Hand	8	Mobile|Tough	80	18	10	20	10	6	13	11		Acrobatics|Arcana|History|Insight|Survival	+1 Shortsword|Dart|Unarmed strike		Int		United States	US		NA	NA	Turtle		Shortsword|Dart|Unarmed Strike	8-11	elastic_fermi
288523a	127089a	3e48d25a98bf45271907520b19a6d1e7	3b884ca	Changeling 2.0	Charlatan	2019-06-01T09:48:25Z	Rogue 8	Rogue	Mastermind	8	Change Appearance|Changeling Instincts|Divergent Persona|Unsettling Visage|Dual Wielder|Moderately Armored	80	19	11	20	14	10	10	12		Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Intimidation|Persuasion	+1 Shortsword|B.A. Shortsword|Dagger	Polymorph*4	Int	expertise/Stealth*Perception*Sleight of Hand*Investigation	United States	US		NA	NA	Changeling	Polymorph*4	Shortsword|Shortsword|Dagger	8-11	upbeat_hodgkin
288523a	127089a	4a0630f704993ebf1ecd01c12ec821b6	f30f73e	Variant	Outlander	2019-06-01T09:47:02Z	Revised Ranger 8	Revised Ranger	Beast Conclave	8	Sharpshooter	96	18	10	20	14	12	16	14		Athletics|Stealth|Insight|Perception|Survival	Shortsword|Longbow|F.E Longbow|S.S. F.E. Longbow|S.S. Longbow|F.E. Shortsword|B.A. Shortsword|B.A. F.E Shortsword	Hunter's Mark (Con)*1|Hail Of Thorns*1|Cure Wounds*1|Pass Without A Trace (Con)*2|Silence (Con)*2	Wis	fighting style/Archery|favored enemy/Monstrosities|animal companion/Ape|greater favored enemy/Dragons	United States	US		NA	NA	Half-Elf	Hunter's Mark*1|Hail of Thorns*1|Cure Wounds*1|Pass Without Trace*2|Silence*2	Shortsword|Longbow|Longbow|Longbow|Longbow|Shortsword|Shortsword|Shortsword	8-11	festive_chaum
288523a	127089a	ef0885958bb5d0642ca2a9c5c159120d	c915c85	Kobold	Urchin	2019-06-01T09:46:08Z	Fighter 8	Fighter	Champion	8	Medium Armor Master|Dual Wielder|Durable	114	19	8	20	20	11	12	11		Acrobatics|Sleight of Hand|Stealth|Perception	Longbow|+1 Rapier|B.A. Shortsword		Int	fighting style/Two-Weapon Fighting	United States	US		NA	NA	Kobold		Longbow|Rapier|Shortsword	8-11	sad_noyce
288523a	127089a	9edf7992ff3ebdb087970a3c876c4cb4	09a6d0d	Lineage - Disp	Hermit	2019-05-31T22:05:33Z	Sorcerer 8	Sorcerer	Divine Soul	8	Lightly Armored	88	18	9	20	20	16	10	20		Arcana|Religion|Medicine|Deception	Crossbow, light|Dagger	Fire Bolt*0|Ray Of Frost*0|Sacred Flame*0|Shocking Grasp*0|Toll The Dead*0|Thaumatutgy *0|Cure Wounds*1|Guiding Bolt*1|Shield*1|Magic Missle*1|Disguise Self (X1)*1|Enlarge/Reduce (C)*2|Invisibility (C)*2|Detect Thoughts (X1)*2|Counterspell*3|Haste (C)*3	Cha	metamagic/Twinned Spell*Distant Spell	United States	US		NA	NA	Tiefling	Fire Bolt*0|Ray of Frost*0|Sacred Flame*0|Shocking Grasp*0|Toll the Dead*0|Thaumaturgy*0|Cure Wounds*1|Guiding Bolt*1|Shield*1|Magic Missile*1|Disguise Self*1|Enlarge/Reduce*2|Invisibility*2|Detect Thoughts*2|Counterspell*3|Haste*3	Crossbow, Light|Dagger	8-11	elastic_driscoll
288523a	127089a	e2dd685ee83ff6c28aee117e7a5fee1c	3536633	Variant	Entertainer	2019-05-31T21:56:46Z	Bard 8	Bard	College of Lore	8	Crossbow Expert	88	17	6	20	16	13	10	20		Acrobatics|Stealth|Arcana|Insight|Deception|Intimidation|Performance|Persuasion	Dagger|B.A. Crossbow, hand	Mage Hand*0|Message*0|Vicious Mockery *0|Command*1|Faerie Fire (Con)*1|Healing Word*1|Identify (Rit)*1|Sleep*1|Tasha's Hideous Laughter (Con)*1|Cloud Of Daggers*2|Invisibility (Con)*2|Counterspell*3|Leomund's Tiny Hut (Rit)*3|Stinking Coud (Con)*3|Dimension Door*4|Greater Invisibility (Con)*4	Cha	expertise/Performance*Deception	United States	US		NA	NA	Half-Elf	Mage Hand*0|Message*0|Vicious Mockery*0|Command*1|Faerie Fire*1|Healing Word*1|Identify*1|Sleep*1|Tasha's Hideous Laughter*1|Cloud of Daggers*2|Invisibility*2|Counterspell*3|Leomund's Tiny Hut*3|Stinking Cloud*3|Dimension Door*4|Greater Invisibility*4	Dagger|Crossbow, hand	8-11	eager_poitras
b847e25	3b113e0	c6b8e12936a6c0888d9d8244b9a5271e	a2b11cb	Tabaxi	Urban Bounty Hunter	2019-05-31T20:11:41Z	Rogue 8	Rogue	Swashbuckler	8		67	15	8	20	14	10	10	16		Stealth|Investigation|Insight|Perception|Deception|Intimidation|Persuasion	Rapier|Shortbow|Dagger		Int	expertise/Stealth*Perception*Investigation	Canada	CA		NA	NA	Tabaxi		Rapier|Shortbow|Dagger	8-11	naughty_gagarin
b847e25	3b113e0	1bfe3c2001d79902dbaf60d94470ab51	1f4b2ad	Tabaxi	Urban Bounty Hunter	2019-05-31T20:02:03Z	Rogue 8	Rogue	Swashbuckler	8		68	15	12	20	14	8	10	15		Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion	Rapier|Shortbow|Dagger		Int	expertise/Stealth*Perception*Persuasion	Canada	CA		NA	NA	Tabaxi		Rapier|Shortbow|Dagger	8-11	happy_tharp
67257c3	28c716d	0b4b8bd6d25119671795c66bbf7a41ce	a351b0e	Dark Elf	City Watch	2019-05-18T09:39:15Z	Rogue 8	Rogue	Swashbuckler	8	Elven Accuracy	62	17	8	20	14	10	10	15	Neutral Good	Athletics|Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion	Rapier+1|Shortbow|Shortsword|Pistol		Int	expertise/Stealth*Persuasion*Sleight of Hand*Deception	Turkey	TR	NG	NA	NA	Elf		Rapier|Shortbow|Shortsword|	8-11	condescending_clarke
	457b4f4	8810edc8689a347566b935b4ce33ffae	42a99d5	Human	Haunted One	2019-05-15T18:25:23Z	Blood Hunter 8	Blood Hunter	Order of the Ghostslayer	8	Crossbow Expert|Sharpshooter	68	16	8	18	14	12	14	10		Arcana|Investigation|Insight|Perception|Survival	Rapier|Crossbow, hand		Int	blood curses/Marked*Purgation|fighting style/Archery|primal rites/Rite of the Flame*Rite of the Storm	Canada	CA		NA	NA	Human		Rapier|Crossbow, hand	8-11	modest_sanderson
0b83e87	992e0a9	f47b04c0ecd9a5ee253dfc4360bfd08e	ce62574	Wood Elf	Soldier	2019-05-15T05:51:21Z	Fighter 8	Fighter	Samurai	8	Elven Accuracy|Dual Wielder	84	17	14	21	19	10	18	14		Athletics|Acrobatics|Insight|Perception|Survival|Intimidation	Crossbow, light|Rapier		Int	fighting style/Two-Weapon Fighting	United States	US		NA	NA	Elf		Crossbow, Light|Rapier	8-11	epic_burnell
	0a6ccc4	561835b6c1b5db0332dc87663a8e34d8	c7280d9	Human	Outlander	2019-04-17T23:49:23Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8	Mounted Combatant	77	17	18	16	14	8	11	11		Athletics|Animal Handling|Perception|Survival	Whip|Spear|Javelin		Int		Canada	CA		NA	NA	Human		Whip|Spear|Javelin	8-11	vigorous_swartz
1fd6a80	39fd4a7	eb09a324f6082ddf2823d2c9e91f9c45	5a82a48	Human	Noble	2019-04-09T08:39:27Z	Wizard 8	Wizard	School of Evocation	8	War Caster	56	11	8	13	16	20	10	10	Neutral	Arcana|History|Investigation|Insight|Persuasion			Int		Netherlands	NL	NN	NA	NA	Human			8-11	frosty_mccarthy
8076f66	d1aeb3b	134b4b77ab973cddf9e628a3ed40ae35	da94d2a	Lineage - Levi	Mercenary Veteran	2019-03-31T02:44:31Z	Fighter 8	Fighter	Battle Master	8	Resilient|Alert	79	15	14	12	14	14	10	18	Chaotic Neutral	Athletics|Persuasion	Longsword|Spear|Morningstar		Int	combat superiority maneuvers/Menacing Attack*Goading Attack*Distracting Strike*Sweeping Attack|fighting style/Two-Weapon Fighting	United States	US	CN	NA	NA	Tiefling		Longsword|Spear|Morningstar	8-11	condescending_fermat
1796d26	b107a60	c5223f7efeb0edf628c138ea70a91b20	14f4029	Protector Aasimar	Soldier	2019-03-30T05:59:42Z	Sorcerer 8	Sorcerer	Draconic Bloodline	8		56	14	10	13	13	10	14	20		Athletics|Arcana|Religion|Intimidation	Crossbow, light|Dagger		Cha	metamagic/Twinned Spell*Heightened Spell	United States	US		NA	NA	Aasimar		Crossbow, Light|Dagger	8-11	jolly_edison
1796d26	b107a60	f5ee13e71524f476cb3324f442cec65a	6bafbc3	Firbolg	Guild Artisan	2019-03-30T05:38:59Z	Monk 8	Monk	Way of the Drunken Master	8		59	18	9	18	14	8	18	12		Acrobatics|History|Insight|Performance|Persuasion	Shortsword|Dart|Unarmed strike		Int		United States	US		NA	NA	Firbolg		Shortsword|Dart|Unarmed Strike	8-11	charming_bartik
b3b2f10	02554ba	e08f48bc60e9b1e6d1963b32f82655de	b006d2d	Human	Custom	2019-03-26T18:55:12Z	Bard 8	Bard	College of Lore	8		61	19	19	18	13	15	15	29	Chaotic Neutral	Acrobatics|Sleight of Hand|Stealth|Investigation|Medicine|Deception|Intimidation|Performance|Persuasion	Spear|Dagger	Prestidigitation*0|Minor Illusion*0|Viscious Mockery*0|Charm Person*1|Cure Wounds*1|Heroism*1|Enthrall*2|Silence*2|Prayer Of Healing*2|Tongues*3|Nondetection*3|Lightning Bolt*3|Confusion*4|Greater Invisibility*4|Polymorph*4	Cha	expertise/Persuasion*Performance	United States	US	CN	NA	NA	Human	Prestidigitation*0|Minor Illusion*0|Vicious Mockery*0|Charm Person*1|Cure Wounds*1|Heroism*1|Enthrall*2|Silence*2|Prayer of Healing*2|Tongues*3|Nondetection*3|Lightning Bolt*3|Confusion*4|Greater Invisibility*4|Polymorph*4	Spear|Dagger	8-11	youthful_kirch
	b1a0d1f	f7048055e1f7b9bd58153b3a9fdc07d6	4252f60	Hill Dwarf	Sage	2019-03-23T00:29:45Z	Druid 8	Druid	Circle of the Moon	8		104	19	13	14	20	12	20	16		Arcana|History|Nature|Survival	Scimitar|Quarterstaff|Battleaxe|Sickle|Longsword|Shortsword		Wis		Canada	CA		NA	NA	Dwarf		Scimitar|Quarterstaff|Battleaxe|Sickle|Longsword|Shortsword	8-11	keen_knuth
2ab8c7d	96de423	6b69f02e690d3e10a19e7d8124ede6fe	7f6ddc7	Lineage - Zari	Guild Artisan	2019-03-14T03:57:16Z	Cleric 8	Cleric	War Domain	8	Alert	59	18	19	10	14	10	17	10		History|Religion|Insight|Persuasion	Warhammer|Crossbow, light	Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardian*3|Freedom of Movement*4|Stoneskin*4	Wis		United States	US		NA	NA	Tiefling	Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardians*3|Freedom of Movement*4|Stoneskin*4	Warhammer|Crossbow, Light	8-11	dreamy_colden
